Sample,SNP_Count
SRR25590905.sorted,6
SRR25590906.sorted,6
SRR25590907.sorted,6
SRR25590908.sorted,6
SRR25590909.sorted,6
SRR25590910.sorted,7
SRR25590911.sorted,6
SRR25590912.sorted,6
SRR25590913.sorted,6
SRR25590914.sorted,7
SRR25590915.sorted,6
SRR25590916.sorted,7
SRR25590917.sorted,6
SRR25590918.sorted,6
SRR25590919.sorted,6
SRR25590920.sorted,6
SRR25590921.sorted,6
SRR25590922.sorted,6
SRR25590923.sorted,8
SRR25590924.sorted,7
SRR25590925.sorted,8
SRR31658171.sorted,0
SRR31658172.sorted,0
SRR31658173.sorted,0
SRR31658174.sorted,0
SRR31658175.sorted,0
SRR31658176.sorted,0
SRR31658177.sorted,0
SRR31658178.sorted,0
SRR31658179.sorted,0
SRR31658180.sorted,0
SRR31658182.sorted,0
SRR31658183.sorted,0
SRR31658184.sorted,0
SRR31658185.sorted,0
SRR31658186.sorted,0
SRR31658187.sorted,0
SRR31658188.sorted,0
SRR31658189.sorted,0
SRR31658190.sorted,0
SRR31658191.sorted,0
SRR31658193.sorted,0
SRR31658194.sorted,0
SRR31658195.sorted,0
SRR31658196.sorted,0
SRR31658197.sorted,0
SRR31658198.sorted,0
SRR31658199.sorted,0
SRR31658200.sorted,0
SRR31658201.sorted,0
SRR31658202.sorted,0
SRR31658203.sorted,0
SRR31658204.sorted,0
SRR31658205.sorted,0
SRR31658206.sorted,0
SRR31658208.sorted,0
SRR31658209.sorted,0
SRR31658210.sorted,0
SRR31658211.sorted,0
SRR31658212.sorted,0
SRR31658213.sorted,0
SRR31658214.sorted,0
SRR31658215.sorted,0
SRR31658216.sorted,0
SRR31658217.sorted,0
SRR31658219.sorted,0
SRR31658220.sorted,0
SRR31658221.sorted,0
SRR31658222.sorted,0
SRR31658223.sorted,0
SRR31658224.sorted,0
SRR31658225.sorted,0
SRR31658226.sorted,0
SRR31658227.sorted,0
SRR31658228.sorted,0
SRR31658230.sorted,0
SRR31658231.sorted,0
SRR31658232.sorted,0
SRR31658233.sorted,0
SRR31658234.sorted,0
SRR31658235.sorted,0
SRR31658236.sorted,0
SRR31658237.sorted,0
SRR31658238.sorted,0
SRR31658239.sorted,0
SRR31658240.sorted,0
SRR31658241.sorted,0
SRR31658242.sorted,0
SRR31658243.sorted,0
SRR31658245.sorted,0
SRR31658246.sorted,0
SRR31658247.sorted,0
SRR31658248.sorted,0
SRR31658249.sorted,0
SRR31658250.sorted,0
SRR31658251.sorted,0
SRR31658253.sorted,0
SRR31658254.sorted,0
SRR31658256.sorted,0
SRR31658257.sorted,0
